type, gen_len, x, y, setup_time, match_time, setup_memory, total_memory
bwt, 1000000, 10000, 100, 12.180483643998741, 0.40933878799842205, 30772585, 103197023
bwt, 1000000, 10000, 1, 12.094685602001846, 0.0075179650011705235, 22852533, 95556971
bwt, 1000000, 10000, 2, 12.142657837990555, 0.009751773002790287, 22932531, 95636969
bwt, 1000000, 10000, 4, 12.0398529410013, 0.016479167999932542, 23092533, 95796971
bwt, 1000000, 10000, 8, 12.123744092998095, 0.0296784529928118, 23412533, 95836971
bwt, 1000000, 10000, 16, 12.087964398000622, 0.06533693500387017, 24052584, 96477022
bwt, 1000000, 10000, 32, 12.147396676009521, 0.13488341399352066, 25332482, 97756920
bwt, 1000000, 10000, 64, 12.097344417998102, 0.26513109300867654, 27892482, 100316920
bwt, 1000000, 10000, 128, 12.239793725006166, 0.5339401609962806, 33012585, 105437023
bwt, 1000000, 10000, 256, 12.227379456002382, 1.0338064050010871, 43252585, 115677023
bwt, 1000000, 10000, 512, 12.385376019010437, 2.037147693001316, 63732611, 136157049
bwt, 1000000, 10000, 1024, 12.602804244990693, 4.099240187992109, 104692512, 177116950
bwt, 1000000, 1, 100, 11.958430874990881, 7.41989933885634e-05, 21565503, 93902318
bwt, 1000000, 2, 100, 11.950295275993994, 0.00012333400081843138, 21566415, 93903230
bwt, 1000000, 4, 100, 11.965310891988338, 0.00021693100279662758, 21568239, 93905054
bwt, 1000000, 8, 100, 12.014019780006493, 0.0004093400057172403, 21571817, 93908664
bwt, 1000000, 16, 100, 11.995872212995891, 0.0008196440030587837, 21579330, 93916241
bwt, 1000000, 32, 100, 11.990735576007864, 0.0014554809895344079, 21594074, 93931137
bwt, 1000000, 64, 100, 12.039753714998369, 0.0030776180065004155, 21623554, 93960913
bwt, 1000000, 128, 100, 12.054847248000442, 0.005706563999410719, 21682531, 94020498
bwt, 1000000, 256, 100, 12.034377133997623, 0.011225259004277177, 21800235, 94139170
bwt, 1000000, 512, 100, 12.03992552300042, 0.023165601000073366, 22035819, 94376810
bwt, 1000000, 1024, 100, 12.017740048991982, 0.042163110003457405, 22507872, 94853710
bwt, 1000000, 2048, 100, 12.057974115989055, 0.08508016899577342, 23449296, 95802670
bwt, 1000000, 4096, 100, 12.071947679010918, 0.174094330999651, 25334338, 97705080
bwt, 1000000, 8192, 100, 12.14446099998895, 0.33890783399692737, 29105122, 101511096
bwt, 1000000, 16384, 100, 11.782278832004522, 0.6789632360014366, 36647751, 109125149
bwt, 1000000, 32768, 100, 12.022115493004094, 1.3739964900014456, 51734759, 124356957
bwt, 1000000, 65536, 100, 11.907397892995505, 2.6660685620008735, 81912729, 154828479
bwt, 1000000, 131072, 100, 12.248158264992526, 5.494070786007796, 142276674, 215787536
bwt, 1000000, 262144, 100, 12.660235792005551, 10.985747711005388, 262756140, 337208906
bwt, 1000000, 524288, 100, 12.742860637998092, 21.23388644400984, 504005634, 580632464
bwt, 1000000, 1048576, 100, 13.02840396699321, 44.32942125800764, 986563739, 1067598017
